"identifier	Origin	DiffAvg	definition",,,,,,,,,,
"MOD:01830	C	74.03	""A protein modification that effectively converts an L-cysteine residue to S-carboxymethyl-L-cysteine sulfone.""",,,,,,,,,,
"MOD:00474	C	74.06	""A protein modification that effectively converts an L-cysteine residue to S-(1",1,"2-(2)H3)-propanamide-L-cysteine.""",,,,,,,,
"MOD:00991	C	74.08	""modification from DeltaMass""",,,,,,,,,,
"MOD:00622	C	76.11	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00282	C	78.97	""A protein modification that effectively converts an L-cysteine residue to S-selenyl-L-cysteine.""",,,,,,,,,,
"MOD:00043	C	79.98	""A protein modification that effectively converts an L-cysteine residue to S-phospho-L-cysteine.""",,,,,,,,,,
"MOD:00180	C	80.06	""A protein modification that effectively converts an L-cysteine residue to S-sulfo-L-cysteine.""",,,,,,,,,,
"MOD:01191	C	85.11	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:00795	C	86.09	""modification from UniMod""",,,,,,,,,,
"MOD:01831	C	89.05	""A protein modification that effectively converts an L-cysteine residue to S-carboxamidomethyl-L-cysteine sulfone.""",,,,,,,,,,
"MOD:01189	C	90.08	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:01097	C	90.13	""A protein modification that effectively converts an L-cysteine residue to S-benzyl-L-cysteine.""",,,,,,,,,,
"MOD:00410	C	99.13	""A protein modification that effectively converts an L-cysteine residue to S-(N-isopropylcarboxamidomethyl)-L-cysteine.""",,,,,,,,,,
"MOD:00424	C	105.14	""A protein modification that effectively converts an L-cysteine residue to S-pyridylethyl-L-cysteine.""",,,,,,,,,,
"MOD:01438	C	105.14	""A protein modification that effectively converts an L-cysteine residue to S-[2-(pyridin-2-yl)ethyl]-L-cysteine.""",,,,,,,,,,
"MOD:01258	C	111.10	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01847	C	111.98	""A protein modification that effectively converts an L-cysteine residue to L-cysteine sulfinyl phosphate.""",,,,,,,,,,
"MOD:01889	C	116.07	""A protein modification that effectively converts an L-cysteine residue to S-(2-succinyl)-L-cysteine"," by addition of either fumaric acid or maleic acid.""",,,,,,,,,
"MOD:01776	C	117.17	""A protein modification that effectively converts an L-cysteine residue to S-methylthiocarbonylaminoethylcysteine.""",,,,,,,,,,
"MOD:00941	C	118.16	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00765	C	119.14	""A protein modification that effectively converts an L-cysteine residue to S-(L-cysteinyl)-L-cysteine"," forming a disulfide bond with free cysteine.""",,,,,,,,,
"MOD:00169	C	123.05	""A protein modification that effectively converts an L-cysteine residue to N-cysteinyl-glycosylphosphatidylinositolethanolamine.""",,,,,,,,,,
"MOD:00483	C	125.13	""A protein modification that is produced by reaction with N-ethylmaleimide.""",,,,,,,,,,
"MOD:01924	C	126.20	""A protein modification that effectively converts an L-cysteine residue to S-octanoyl-L-cysteine.""",,,,,,,,,,
"MOD:00939	C	129.12	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01349	C	143.14	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00212	C	146.14	""A protein modification that effectively converts an L-cysteine residue to S-4-hydroxycinnamyl-L-cysteine.""",,,,,,,,,,
"MOD:01237	C	156.22	""A protein modification produced by formation of an adduct of an L-cysteine residue with 4-hydroxynonenal.""",,,,,,,,,,
"MOD:01298	C	158.24	""A protein modification produced by formation of an adduct of an L-cysteine residue with 4-hydroxynonenal artificially reduced by a reagent such as NaBH4.""",,,,,,,,,,
"MOD:00161	C	162.14	""A protein modification that effectively converts an L-cysteine residue to S-glucosylated L-cysteine.""",,,,,,,,,,
"MOD:00799	C	162.14	""A protein modification that effectively converts an L-cysteine residue to S-galactosyl-L-cysteine.""",,,,,,,,,,
"MOD:01436	C	166.18	""A protein modification that effectively converts an L-cysteine residue to cyclo[(prolylserin)-O-yl] cysteinate.""",,,,,,,,,,
"MOD:00797	C	168.04	""a protein modification that effectively converts an L-cysteine residue to the PEP adduct"," 2-(S-L-cysteinyl)pyruvic acid O-phosphothioketal""",,,,,,,,,
"MOD:01466	C	170.17	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00548	C	171.26	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01975	C	172.18	""A protein modification that effectively converts an L-cysteine residue to S-(poly-3-hydroxybutyrate)-L-cysteine.""",,,,,,,,,,
"MOD:00549	C	174.17	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:00550	C	184.28	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00551	C	189.19	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:00620	C	190.20	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00610	C	200.59	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01858	C	203.19	""A protein modification that effectively converts an L-cysteine residue to S-(N-acetylamino)glucosyl-L-cysteine.""",,,,,,,,,,
"MOD:00111	C	204.36	""A protein modification that effectively converts an L-cysteine residue to S-farnesyl-L-cysteine.""",,,,,,,,,,
"MOD:00312	C	210.36	""A protein modification that effectively converts an L-cysteine residue to S-myristoyl-L-cysteine.""",,,,,,,,,,
"MOD:01321	C	218.34	""modification from UniMod Other""",,,,,,,,,,
"MOD:01116	C	218.38	""A protein modification that effectively converts an L-cysteine residue to S-farnesyl-L-cysteine methyl ester.""",,,,,,,,,,
"MOD:00112	C	220.36	""A protein modification that effectively converts an L-cysteine residue to S-12-hydroxyfarnesyl-L-cysteine.""",,,,,,,,,,
"MOD:01691	C	224.34	""A protein modification that effectively converts an L-cysteine residue to N-(12-ketomyristoyl)-L-cysteine.""",,,,,,,,,,
"MOD:01690	C	226.36	""A protein modification that effectively converts an L-cysteine residue to N-[(12R)-12-hydroxymyristoyl]-L-cysteine.""",,,,,,,,,,
"MOD:00480	C	227.26	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:01133	C	234.38	""A protein modification that effectively converts an L-cysteine residue to S-12-hydroxyfarnesyl-L-cysteine methyl ester.""",,,,,,,,,,
"MOD:00481	C	236.16	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:00313	C	236.40	""A protein modification that effectively converts an L-cysteine residue to S-palmitoleyl-L-cysteine.""",,,,,,,,,,
"MOD:00069	C	238.41	""A protein modification that effectively converts an L-cysteine residue to N-palmitoyl-L-cysteine.""",,,,,,,,,,
"MOD:00115	C	238.41	""A protein modification that effectively converts an L-cysteine residue to S-palmitoyl-L-cysteine.""",,,,,,,,,,
"MOD:01684	C	238.41	""A protein modification that effectively converts an L-cysteine residue to a palmitoylated-L-cysteine"," such as N-palmitoyl-L-cysteine or S-palmitoyl-L-cysteine.""",,,,,,,,,
"MOD:00816	C	266.47	""A protein modification that effectively converts an L-cysteine residue to S-stearoyl-L-cysteine.""",,,,,,,,,,
"MOD:00113	C	272.48	""A protein modification that effectively converts an L-cysteine residue to S-geranylgeranyl-L-cysteine.""",,,,,,,,,,
"MOD:01119	C	286.50	""A protein modification that effectively converts an L-cysteine residue to S-geranylgeranyl-L-cysteine methyl ester.""",,,,,,,,,,
"MOD:01969	C	289.31	""A protein modification that effectively converts an L-cysteine residue to S-(gamma-glutamyl-cysteinyl-glycyl)-cysteine.""",,,,,,,,,,
"MOD:00566	C	297.15	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00932	C	298.02	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:01822	C	299.17	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-zero reporter+balance group.""",,,,,,,,,,
"MOD:01823	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-126 reporter+balance group.""",,,,,,,,,,
"MOD:01824	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-127 reporter+balance group.""",,,,,,,,,,
"MOD:01825	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-128 reporter+balance group.""",,,,,,,,,,
"MOD:01826	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-129 reporter+balance group.""",,,,,,,,,,
"MOD:01827	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-130 reporter+balance group.""",,,,,,,,,,
"MOD:01828	C	304.18	""A protein modification that effectively replaces a residue sulfhydryl hydrogen with a Thermo Scientific cysTMT6plex-131 reporter+balance group.""",,,,,,,,,,
"MOD:00234	C	305.30	""A protein modification that effectively converts an L-cysteine residue to S-glutathionyl-L-cysteine.""",,,,,,,,,,
"MOD:00491	C	316.38	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01174	C	316.44	""A protein modification that effectively converts an L-cysteine residue to S-(15-deoxy-Delta12","14-prostaglandin J2-9-yl)-L-cysteine.""",,,,,,,,,
"MOD:00613	C	326.42	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00339	C	342.87	""A protein modification that effectively converts an L-cysteine residue to L-cysteinyl hydrogenase diiron subcluster.""",,,,,,,,,,
"MOD:00494	C	345.78	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:00495	C	351.12	""modification from UniMod Isotopic label""",,,,,,,,,,
"MOD:01264	C	362.38	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01266	C	380.39	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00499	C	388.35	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01860	C	396.37	""A protein modification that effectively converts an L-cysteine residue to L-cysteine bacillithiol disulfide.""",,,,,,,,,,
"MOD:00413	C	414.52	""A protein modification that is produced by reaction of a cysteine residue with biotinyl-iodoacetamidyl-3","6-dioxaoctanediamine.""",,,,,,,,,
"MOD:00257	C	418.40	""A protein modification that effectively converts an L-cysteine residue to dipyrrolylmethanemethyl-L-cysteine.""",,,,,,,,,,
"MOD:01365	C	421.43	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:01694	C	421.46	""A protein modification that effectively results from forming an adduct between an L-cysteine residue and the bioluminescent compound didehydrocoelenterazine to form S-(coelenterazin-3a-yl)-L-cysteine.""",,,,,,,,,,
"MOD:00609	C	428.61	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:01848	C	432.54	""A protein modification that effectively converts an L-cysteine residue to S-(spermidinoglutathion-S-yl)-L-cysteine.""",,,,,,,,,,
"MOD:00406	C	442.22	""A protein modification that is produced by formation of an adduct of a cysteine residue with the Applied Biosystems original isotope-coded affinity tag d0 reagent.""",,,,,,,,,,
"MOD:00405	C	450.28	""A protein modification that is produced by formation of an adduct of a cysteine residue with the Applied Biosystems original isotope-coded affinity tag d8 reagent.""",,,,,,,,,,
"MOD:00225	C	454.33	""A protein modification that effectively converts an L-cysteine residue to S-(6-FMN)-L-cysteine.""",,,,,,,,,,
"MOD:00356	C	456.35	""A protein modification that effectively converts an L-cysteine residue to S-(4a-FMN)-L-cysteine.""",,,,,,,,,,
"MOD:01660	C	484.50	""A protein modification that is produced by reaction with 1-amino-4-{[3-(ethenylsulfonyl)phenyl]amino}-9",10-dioxo-9,10-dihydroanthracene-2-sulfonate, Uniblue A," to form Uniblue A cysteine adduct.""",,,,,,
"MOD:00401	C	486.63	""A protein modification that is produced by formation of an adduct of a cysteine residue with the Gygi isotope-coded affinity tag d0 reagent.""",,,,,,,,,,
"MOD:00402	C	494.30	""A protein modification that is produced by formation of an adduct of a cysteine residue with the Gygi isotope-coded affinity tag d8 reagent.""",,,,,,,,,,
"MOD:00151	C	520.27	""A protein modification that effectively converts an L-cysteine residue to L-cysteinyl molybdopterin.""",,,,,,,,,,
"MOD:00178	C	541.30	""A protein modification that effectively converts an L-cysteine residue to S-(ADP-ribosyl)-L-cysteine.""",,,,,,,,,,
"MOD:01144	C	550.91	""A protein modification that effectively converts an L-cysteine residue to S-(sn-1-2","3-dipalmitoyl-glycerol)cysteine.""",,,,,,,,,
"MOD:00898	C	576.95	""A protein modification that effectively converts an L-cysteine residue to S-(sn-1-2-oleoyl-3-palmitoyl-glycerol)cysteine.""",,,,,,,,,,
"MOD:00142	C	584.67	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound phytochromobilin.""",,,,,,,,,,
"MOD:01142	C	584.67	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound 15","16-dihydrobiliverdin.""",,,,,,,,,
"MOD:00140	C	586.69	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound phycocyanobilin.""",,,,,,,,,,
"MOD:00263	C	586.69	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound phycoviolobilin.""",,,,,,,,,,
"MOD:01175	C	586.69	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound phycourobilin.""",,,,,,,,,,
"MOD:00141	C	588.70	""A protein modification that effectively results from forming an adduct between a cysteine residue and the tetrapyrrole compound phycoerythrobilin.""",,,,,,,,,,
"MOD:00144	C	616.50	""A protein modification that effectively results from forming an adduct between a cysteine residue and the porphyrin compound heme b", (7,12-diethenyl-3,8,13,17-tetramethylporphyrin-2,"18-dipropanoato)iron.""",,,,
"MOD:00228	C	635.16	""A protein modification that effectively converts an L-cysteine residue to S-diphytanylglycerol diether-L-cysteine.""",,,,,,,,,,
"MOD:00922	C	672.84	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00897	C	677.20	""A protein modification that effectively converts an L-cysteine residue to N-acetyl-S-archeol-L-cysteine.""",,,,,,,,,,
"MOD:00923	C	684.85	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00633	C	713.57	""modification from UniMod Chemical derivative""",,,,,,,,,,
"MOD:00311	C	765.52	""A protein modification that effectively converts an L-cysteine residue to L-cysteine coenzyme A disulfide.""",,,,,,,,,,
"MOD:00152	C	783.54	""A protein modification that effectively converts an L-cysteine residue to S&apos;-(8alpha-FAD)-L-cystine.""",,,,,,,,,,
"MOD:01146	C	783.54	""A protein modification that effectively converts an L-cysteine residue to S-(6-FAD)-L-cystine.""",,,,,,,,,,
"MOD:00444	C	789.32	""A protein modification that effectively converts an L-cysteine residue to N-palmitoyl-S-(sn-1-2","3-dipalmitoyl-glycerol)cysteine.""",,,,,,,,,
"MOD:00900	C	815.36	""A protein modification that effectively converts an L-cysteine residue to N-palmitoyl-S-(sn-1-2-oleoyl-3-palmitoyl-glycerol)cysteine.""",,,,,,,,,,
"MOD:00360	C	922.07	""A protein modification that effectively converts an L-cysteine residue to L-cysteinyl copper sulfido molybdopterin cytosine dinuncleotide.""",,,,,,,,,,
"MOD:00286	C	1572.02	""A protein modification that effectively converts an L-cysteine residue to L-cysteinyl molybdenum bis(molybdopterin guanine dinucleotide).""",,,,,,,,,,
"MOD:01468	C	1618.93	""A protein modification that effectively converts an L-cysteine residue to L-selenocysteinyl molybdenum bis(molybdopterin guanine dinucleotide) (not known as a natural"," post-translational modification process).""",,,,,,,,,
"MOD:01469	C	1738.88	""A protein modification that effectively converts an L-cysteine residue to L-selenocysteinyl tungsten bis(molybdopterin guanine dinucleotide) (not known as a natural"," post-translational modification process).""",,,,,,,,,
"MOD:01634	D	-115.09	""A protein modification that effectively removes or replaces an L-aspartic acid.""",,,,,,,,,,
"MOD:00869	D	-44.01	""A protein modification that effectively converts an L-aspartic acid residue to L-alanine.""",,,,,,,,,,
"MOD:00378	D	-16.00	""A protein modification that effectively converts an L-aspartic acid residue to L-aspartyl semialdehyde.""",,,,,,,,,,
"MOD:00093	D	-0.98	""A protein modification that effectively converts an L-aspartic acid residue to L-aspartic acid 1-amide.""",,,,,,,,,,
"MOD:01185	D	-0.98	""A protein modification that effectively converts an L-aspartic acid residue to L-asparagine.""",,,,,,,,,,
"MOD:01181	D	14.03	""A protein modification that effectively converts an L-aspartic acid residue to L-aspartate 4-methyl ester.""",,,,,,,,,,
"MOD:01681	D	14.03	""A protein modification that effectively replaces one hydrogen atom of an L-aspartic acid residue with one methyl group.""",,,,,,,,,,
"MOD:00036	D	16.00	""A protein modification that effectively converts an L-aspartic acid residue to (2S","3R)-3-hydroxyaspartic acid.""",,,,,,,,,
"MOD:01919	D	16.00	""A protein modification that effectively converts an L-aspartic acid residue to (2S","3S)-3-hydroxyaspartic acid.""",,,,,,,,,
"MOD:01926	D	16.00	""A protein modification that effectively converts an L-aspartic acid residue to one of the diastereomeric 3-hydroxy-L-aspartic acid residues.""",,,,,,,,,,
"MOD:01241	D	17.03	""A protein modification that effectively converts an L-lysine residue to 3x(2)H labeled L-aspartic acid 4-methyl ester.""",,,,,,,,,,
"MOD:01295	D	21.98	""A protein modification that effectively converts an L-aspartic acid residue to monosodium L-aspartate.""",,,,,,,,,,
"MOD:01245	D	38.09	""A protein modification that effectively converts an L-aspartic acid residue to the potassium aspartate salt.""",,,,,,,,,,
"MOD:00051	D	42.04	""A protein modification that effectively converts an L-aspartic acid residue to N-acetyl-L-aspartic acid.""",,,,,,,,,,
"MOD:00309	D	44.01	""A protein modification that effectively converts an L-aspartic acid residue to L-beta-carboxyaspartic acid.""",,,,,,,,,,
"MOD:00237	D	46.09	""A protein modification that effectively converts an L-aspartic acid residue to L-beta-methylthioaspartic acid.""",,,,,,,,,,
"MOD:01215	D	57.05	""A protein modification that effectively converts an L-aspartic acid residue to O4-(carboxamidomethyl)aspartate.""",,,,,,,,,,
"MOD:01209	D	62.54	""A protein modification that effectively converts an L-aspartic acid residue to the copper(1+) aspartate salt.""",,,,,,,,,,
"MOD:01178	D	76.07	""A protein modification that effectively converts an L-aspartic acid residue to S-(aspart-4-yloxy) thiocarbonate.""",,,,,,,,,,
"MOD:00042	D	79.98	""A protein modification that effectively converts an L-aspartic acid residue to L-aspartic 4-phosphoric anhydride.""",,,,,,,,,,
"MOD:01099	D	82.06	""A protein modification that effectively converts an L-aspartic acid residue to succinyl beta-aspartyl anhydride.""",,,,,,,,,,
"MOD:00168	D	123.05	""A protein modification that effectively converts an L-aspartic acid residue to N-(aspart-1-yl)-glycosylphosphatidylinositolethanolamine.""",,,,,,,,,,
"MOD:00865	D	123.05	""A protein modification that effectively converts an L-aspartic acid residue to N-aspartyl-glycosylsphingolipidinositolethanolamine.""",,,,,,,,,,
"MOD:01217	D	155.00	""modification from UniMod Isotopic label -""",,,,,,,,,,
"MOD:01219	D	161.02	""modification from UniMod Chemical derivative -""",,,,,,,,,,
"MOD:00321	D	294.39	""A protein modification that effectively converts an L-aspartic acid residue to cis-14-hydroxy-10","13-dioxo-7-heptadecenoic acid L-aspartate ester.""",,,,,,,,,
"MOD:00224	D	441.36	""A protein modification that effectively converts an L-aspartic acid residue to 1-chondroitin sulfate-L-aspartic acid ester""",,,,,,,,,,
"MOD:01668	D	783.54	""A protein modification that effectively converts an L-aspartic acid residue to O4-(8alpha-FAD)-L-aspartate.""",,,,,,,,,,
"MOD:00380	D	1572.02	""A protein modification that effectively converts an L-aspartic acid residue to L-aspartyl molybdenum bis(molybdopterin guanine dinucleotide).""",,,,,,,,,,
"MOD:01636	E	-129.12	""A protein modification that effectively removes or replaces an L-glutamic acid.""",,,,,,,,,,
"MOD:00819	E	-44.01	""A protein modification that effectively converts an L-glutamic acid residue to L-2-aminobutanoic acid.""",,,,,,,,,,
"MOD:00951	E	-44.01	""Covalent modification of a peptide or protein L-glutamic acid residue to gamma-carboxyglutamic acid with secondary loss of a neutral carbon dioxide molecular fragment.""",,,,,,,,,,
"MOD:00420	E	-18.02	""A protein modification that effectively converts an L-glutamic acid residue to 2-pyrrolidone-5-carboxylic acid.""",,,,,,,,,,
"MOD:01692	E	-16.00	""A protein modification that effectively converts an L-glutamic acid residue to L-glutamyl semialdehyde.""",,,,,,,,,,
"MOD:00096	E	-0.98	""A protein modification that effectively converts an L-glutamic acid residue to L-glutamic acid 1-amide.""",,,,,,,,,,
"MOD:00081	E	14.03	""A protein modification that effectively converts an L-glutamic acid residue to L-glutamate 5-methyl ester.""",,,,,,,,,,
"MOD:01434	E	16.00	""A protein modification that effectively converts an L-glutamic acid residue to a 4-hydroxy-L-glutamic acid.""",,,,,,,,,,
"MOD:01242	E	17.03	""A protein modification that effectively converts an L-lysine residue to 3x(2)H labeled L-glutamic acid 5-methyl ester.""",,,,,,,,,,
"MOD:01296	E	21.98	""A protein modification that effectively converts an L-glutamic acid residue to monosodium L-glutamate.""",,,,,,,,,,
"MOD:01807	E	28.01	""A protein modification that effectively converts an L-glutamic acid residue to N-formyl-L-glutamic acid.""",,,,,,,,,,
"MOD:00600	E	28.05	""A protein modification that effectively converts an L-glutamic acid residue to L-glutamate 5-ethyl ester.""",,,,,,,,,,
"MOD:01244	E	38.09	""A protein modification that effectively converts an L-glutamioc acid residue to the potassium glutamate salt.""",,,,,,,,,,
"MOD:00053	E	42.04	""A protein modification that effectively converts an L-glutamic acid residue to N-acetyl-L-glutamic acid.""",,,,,,,,,,
